Employee_ID,First Name,Last Name,Gender,MaritalStatus,Department,Grade,Employee_Count,Job_Satisfaction,MonthlyIncome,MonthlyRate,Age,Job Type,Job Experience,Hire_Date,Company_Environment,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Country
1,Shelia,Mahoney,Male,Single,Sales,2,1,4,5993,19479,41,Permannent,16,1/1/2010,5,0,1,6,United Kingdom
2,Jo,Rivers,Female,Married,TECH,2,1,2,5130,24907,49,Contractual,14,2/1/2012,3,3,3,10,United States
3,Sheryl,Lowery,Female,Single,TECH,1,1,3,2090,2396,37,Contractual,14,2/2/2012,4,3,3,0,Australia
4,Whitney,Hooper,Male,Married,TECH,1,1,3,2909,23159,33,Contractual,14,2/3/2012,4,3,3,8,Australia
5,Lindsey,Rice,Female,Married,Manfacturing,1,1,2,3468,16632,27,Contractual,14,2/4/2012,1,3,3,2,Australia
6,Sherry,Caldwell,Male,Single,Manfacturing,1,1,4,3068,11864,32,Contractual,14,2/5/2012,4,2,2,7,Australia
7,Ernest,Hoffman,Male,Married,Manfacturing,1,1,5,2670,9964,59,Contractual,14,2/6/2012,3,3,2,1,Australia
8,Doris,Andersen,Male,Divorced,Manfacturing,1,1,3,2693,13335,30,Contractual,14,2/7/2012,4,2,3,1,Australia
9,Cheryl,Mays,Male,Single,Manfacturing,3,1,5,9526,8787,38,Contractual,14,2/8/2012,4,2,3,9,Australia
10,Harry,Mitchell,Male,Married,Manfacturing,2,1,3,5237,16577,36,Contractual,11,2/8/2015,3,3,2,7,Australia
11,Casey,Ayala,Male,Married,Manfacturing,1,1,5,2426,16479,,Contractual,11,2/9/2015,1,5,3,5,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
12,Sara,Huff,Male,Single,Manfacturing,2,1,3,4193,12682,29,Contractual,11,2/10/2015,4,3,3,9,Australia
13,Eddie,Barnes,Female,Divorced,Manfacturing,1,1,3,2911,15170,31,Contractual,11,2/11/2015,1,1,2,5,Australia
14,Ralph,Lowe,Female,Divorced,Manfacturing,1,1,5,2661,8758,34,Contractual,11,2/12/2015,2,2,3,2,Australia
15,Priscilla,Davis,Male,Single,Manfacturing,1,1,3,2028,12947,28,Contractual,11,2/13/2015,3,4,3,4,Australia
16,Carly,Abbott,Female,Divorced,Manfacturing,3,1,1,9980,10195,29,Contractual,11,2/14/2015,2,1,3,10,Australia
17,Nicolas,Mckinney,Male,Divorced,Manfacturing,1,1,2,3298,15053,32,Contractual,11,2/15/2015,1,5,2,6,Australia
18,Natasha,Macias,Female,Divorced,Manfacturing,1,1,4,2935,7324,22,Contractual,11,2/16/2015,4,2,2,1,Australia
19,Courtney,Jenkins,Female,Married,Sales,4,1,4,15427,22021,53,Contractual,21,2/17/2005,1,3,3,25,Australia
20,Perry,Mcmahon,Female,Single,TECH,1,1,4,3944,4306,38,Contractual,24,2/18/2005,4,3,3,3,United Kingdom
21,Emily,Travis,Male,Divorced,TECH,2,1,3,4011,8232,24,Contractual,24,2/19/2005,1,5,2,4,United Kingdom
22,Meghan,Hawkins,Male,Single,Sales,1,1,1,3407,6986,36,Contractual,24,2/20/2005,3,4,3,5,United Kingdom
23,Ernest,Oconnell,Male,Single,TECH,3,1,2,11994,21293,34,Contractual,24,2/21/2005,1,4,3,12,United Kingdom
24,Norman,Walton,Female,Single,TECH,1,1,4,1232,19281,21,Contractual,24,2/22/2005,3,6,3,0,United Kingdom
25,Roger,Sweeney,Female,Single,TECH,1,1,1,2960,17102,34,Contractual,24,2/23/2005,2,2,3,4,United Kingdom
